surface_id,surface_name,route,bluebird_check,refrm_check,leak_risk,verdict,notes,evidence
ISO-11,Client schedule location chips,/schedule,LIVE: checked c=150002,LIVE: checked c=150001,CRITICAL,PASS,Bluebird schedule showed Bluebird Central location; Refrm showed Select location with no Bluebird location/classes.,evidence/ISO-11/bluebird-schedule-location.png; evidence/ISO-11/refrm-schedule-location.png
ISO-12,Client schedule class chips family,/schedule,LIVE: checked c=150002,LIVE: checked c=150001,CRITICAL,PASS,Bluebird schedule exposed Reformer Flow and Slow Flow chips; Refrm had no classes matching filters and no Bluebird class chips.,evidence/ISO-12/bluebird-schedule-classes.png; evidence/ISO-12/refrm-schedule-classes.png
ISO-13,Admin appointment types,/admin/appointments-hub (Types),LIVE: checked c=150002,LIVE: checked c=150001,CRITICAL,PASS,"Bluebird Types pane showed no appointment types; Refrm Types pane remained Loading with no types rendered, and no Bluebird types exposed.",evidence/ISO-13/bluebird-appointment-types.png; evidence/ISO-13/refrm-appointment-types.png
ISO-14,Admin Daily Focus,/admin/daily-focus,LIVE: checked c=150002,LIVE: checked c=150001,CRITICAL,PASS,Bluebird and Refrm Daily Focus both showed Nothing to focus on yet; no cross-tenant intelligence.,evidence/ISO-14/bluebird-daily-focus.png; evidence/ISO-14/refrm-daily-focus.png
ISO-15,Client wallet credits tab,/wallet?tab=credits,LIVE: checked c=150002,LIVE: checked c=150001,CRITICAL,PASS,"Bluebird wallet showed 16 credits/0 recovery credits with Bluebird expiry and top-up data; Refrm showed Digital Membership Pass, not Bluebird wallet data.",
ISO-16,Wallet credit packs catalogue family,/wallet?tab=credits · /purchase,LIVE: checked c=150002,LIVE: checked c=150001,CRITICAL,PASS,"Bluebird purchase showed Bluebird Central, Bluebird 8 £112/month and Bluebird class packs; Refrm purchase showed Refrm Stevenage offers, no Bluebird catalogue. No checkout/purchase.",
ISO-17,Admin News,/admin/news,LIVE: checked c=150002,LIVE: checked c=150001,CRITICAL,PASS,Bluebird News showed one CENSUS TEST DRAFT article; Refrm showed 0 articles / No articles yet. No publish/create/edit.,
ISO-18,Client home activity / branding,/?view=client,LIVE: checked c=150002,LIVE: checked c=150001,CRITICAL,FAIL,Bluebird client home loaded tenant activity; Refrm route showed Helgo account chooser exposing Bluebird Pilates in Business access and Memberships.,evidence/ISO-18/bluebird-client-home.png; evidence/ISO-18/refrm-client-home.png
ISO-19,Action Effectiveness (FC-011/#1172),/admin/action-effectiveness,LIVE: checked c=150002,LIVE: checked c=150001,HIGH,PASS,Both tenants showed No action effectiveness data yet; no cross-tenant intelligence and no Seed Demo.,
ISO-20,Cohorts (FC-012/#1172),/admin/intelligence/cohorts,LIVE: checked c=150002,LIVE: checked c=150001,HIGH,FAIL,"Bluebird and Refrm both rendered the same cohort metrics/periods (0% retention; best 2025-10; weakest 2026-08), indicating Bluebird intelligence on Refrm.",evidence/ISO-20/bluebird-cohorts.png; evidence/ISO-20/refrm-cohorts.png
ISO-21,Monthly Intelligence Review (FC-014/#1172),/admin/monthly-review,LIVE: checked c=150002,LIVE: checked c=150001,HIGH,PASS,Bluebird monthly review showed September 2026 brief; Refrm remained on route with scheduled/latest brief checks and no Bluebird figures.,
ISO-22,Multi-Company Overview (FC-016/#1172),/admin,LIVE: checked c=150002,LIVE: checked c=150001,CRITICAL,PASS,Bluebird Overview showed Bluebird Pilates with Bluebird Central/North only; Refrm Admin Portal showed No company and no Bluebird/seven-brand list.,evidence/FC-016/bluebird-overview.png; evidence/FC-016/refrm-overview.png
ISO-23,Quarterly Review (FC-017/#1172),/admin/quarterly-review,LIVE: checked c=150002,LIVE: checked c=150001,HIGH,PASS,Bluebird quarterly review showed no scheduled executive brief; Refrm remained honest-empty/checking with no Bluebird figures.,
ISO-24,Recordings (FC-018/#1172),/admin/recordings,LIVE: checked c=150002,LIVE: checked c=150001,MEDIUM,PASS,Both tenants showed Screen recording is not switched on for this studio yet.,
ISO-25,Visual Intelligence Showcase (FC-020/#1172),/admin/visual-intelligence-showcase,LIVE: checked c=150002,LIVE: checked c=150001,MEDIUM,PASS,"Both tenants explicitly rendered the shared fixture-labelled Visual Intelligence sample gallery, not live tenant metrics.",
ISO-26,Instructor ROI (FC-022/#1172),/admin/instructor-roi,LIVE: checked c=150002,LIVE: checked c=150001,HIGH,PASS,Both tenants showed No instructor data found; no Bluebird instructor/revenue data under Refrm.,
ISO-27,Staff Availability (FC-024/#1172),/admin/staff-availability,LIVE: checked c=150002,LIVE: checked c=150001,HIGH,FAIL,"Refrm Staff Availability listed the Bluebird roster (BB Teacher, helgoiq bb teacher 2, helgoiq bb teacher 3), each with 0 slots.",evidence/ISO-27/bluebird-availability.png; evidence/ISO-27/refrm-availability.png
ISO-28,Segments (SEG/MKT-T11),/admin/segments,LIVE: checked c=150002,LIVE: checked c=150001,CRITICAL,PASS,Bluebird showed CENSUS MKT segments; Refrm showed No segments yet; no cross-tenant segment names/members.,
ISO-29,Command Centre ?c= (AIS-013/#1175),/admin/command-centre?c=,LIVE: checked c=150002,LIVE: checked c=150001,HIGH,FAIL,Bluebird Command Centre loaded Aster with Bluebird recent chats; Refrm retained c= but rendered Choose a studio first with only Bluebird Pilates.,evidence/ISO-29/bluebird-command-centre.png; evidence/ISO-29/refrm-command-centre.png
FC-016,Multi-Company Overview extra check,/admin?c=,LIVE: checked c=150002,LIVE: checked c=150001,CRITICAL,PASS,Same live paired check as ISO-22; Refrm showed No company and no Bluebird/seven-brand list.,evidence/FC-016/bluebird-overview.png; evidence/FC-016/refrm-overview.png
Weymouth-1245,Weymouth Command Centre leak (#1245),/admin/command-centre?c=,NOT_RUN,NOT_RUN,HIGH,NOT_RUN,"Issue #1245 is documented as deployed on this tip, but no dedicated Weymouth fixture/route was identified in the supplied notes; CC spot-check captured only and is not sufficient to score the issue.",evidence/WEYMOUTH-1245/bluebird-command-centre-spotcheck.png; evidence/WEYMOUTH-1245/refrm-command-centre-spotcheck.png
Luton-1242,Luton screens leak (#1242),screen route not specified in supplied notes,NOT_RUN,NOT_RUN,HIGH,NOT_RUN,"Issue #1242 is documented as deployed, but no dedicated Luton screen route/fixture was identified; current CC spot-check is not sufficient to score this issue.",evidence/LUTON-1242/bluebird-command-centre-spotcheck.png; evidence/LUTON-1242/refrm-command-centre-spotcheck.png
