surface_id,surface_name,route,bluebird_check,refrm_check,leak_risk,verdict,notes,evidence
ISO-14,Admin Daily Focus,/admin/daily-focus,PASS: Daily Focus says Nothing to focus on yet; no Stevenage/£960 items.,PASS: Daily Focus says Nothing to focus on yet; no Bluebird items or Stevenage/£960 item.,CRITICAL,PASS,"Both tenants honest-empty; no Seed Demo, Refresh, or Calculate Priorities action used.",iso29/batch3/ISO-14-bluebird-daily-focus.webp; iso29/batch3/ISO-14-refrm-daily-focus.webp
ISO-15,Client wallet credits tab,/wallet?tab=credits,"PASS: Credits tab shows 16 credits remaining, 0 recovery credits, Bluebird expiry breakdown, and Bluebird top-up options; no Refrm packs.","PASS: Refrm route showed Digital Membership Pass/member surface, not Bluebird credits or packs; no Bluebird balance/content visible.",CRITICAL,PASS,No purchase initiated. Refrm did not expose Bluebird wallet credit data.,iso29/batch3/ISO-15-bluebird-wallet-credits.webp; iso29/batch3/ISO-15-refrm-wallet-credits.webp
ISO-16,Wallet credit packs catalogue family,/wallet?tab=credits · /purchase,"PASS: Purchase catalogue shows Bluebird Central, Bluebird 8 £112/month, Single Class £20, and 5 Class Pack £80.",PASS: Refrm Stevenage catalogue shows Refrm 3 Credits £30 initial offer and Refrm 4 £60/month; no Bluebird catalogue items.,CRITICAL,PASS,"Catalogue comparison only; no Select Plan, Add, checkout, or purchase action used.",iso29/batch3/ISO-16-bluebird-purchase.webp; iso29/batch3/ISO-16-refrm-purchase.webp
ISO-17,Admin News,/admin/news,"PASS: News Management shows one Bluebird article, CENSUS TEST DRAFT - Sept 2026 Studio News; no Refrm article names.",PASS: News Management shows 0 total/published/featured and No articles yet; no Bluebird article visible.,CRITICAL,PASS,"Bluebird and Refrm article sets are not identical; no publish, create, edit, toggle, or delete action used.",iso29/batch3/ISO-17-bluebird-news.webp; iso29/batch3/ISO-17-refrm-news.webp
ISO-18,Client home activity / branding,/?view=client,"PASS: Client home shows Bluebird client activity (16 credits, 0 classes until milestone, Quick Book Next Reformer, feedback, Notifications 10).",FAIL: /?view=client&c=150001 shows the Helgo account chooser with Bluebird Pilates — TEST DATA (fabricated) in Business access and Memberships instead of a Refrm-branded client home.,CRITICAL,FAIL,Cross-tenant branding/account exposure: Refrm client route exposes Bluebird Pilates account access to the Admin2 session; owner/member impact is visible Bluebird studio/member identity under Refrm. No booking or other mutation performed.,iso29/batch3/ISO-18-bluebird-client-home.webp; iso29/batch3/ISO-18-refrm-client-home.webp
ISO-19,Action Effectiveness (FC-011/#1172),/admin/action-effectiveness,PASS: Action Effectiveness is honest-empty with No action effectiveness data yet; Win-back/£1.8k Refrm data absent.,PASS: Action Effectiveness is honest-empty with No action effectiveness data yet; no Bluebird data visible.,HIGH,PASS,"No Seed Demo Data used; no Win-back, £1.8k, or other cross-tenant intelligence appeared.",iso29/batch3/ISO-19-bluebird-action-effectiveness.webp; iso29/batch3/ISO-19-refrm-action-effectiveness.webp
ISO-20,Cohorts (FC-012/#1172),/admin/intelligence/cohorts,"PASS: Cohorts renders 0% M1/M3/M6/M12 retention, best cohort 2025-10, weakest cohort 2026-08, and empty sizes/LTV.","FAIL: Refrm Cohorts renders the same Bluebird cohort periods and metrics (0% retention, best 2025-10, weakest 2026-08, empty sizes/LTV), not a distinct Refrm view.",HIGH,FAIL,Cross-tenant admin intelligence leakage: Refrm repeats Bluebird cohort metrics/periods. Owner/admin impact: Refrm admin can see the Bluebird cohort intelligence surface. No filters or mutations used.,iso29/batch3/ISO-20-bluebird-cohorts.webp; iso29/batch3/ISO-20-refrm-cohorts.webp
ISO-21,Monthly Intelligence Review (FC-014/#1172),/admin/monthly-review,"PASS: Monthly Intelligence Review shows September 2026 Monthly Business Review, generated 21 ago, low confidence, with executive summary temporarily unavailable; no Refrm 303-member/£1.55M data.",PASS: Monthly Intelligence Review stayed on the route while scheduled/latest briefing checks remained in a checking state; no Refrm figures and no silent bounce to executive briefing.,HIGH,PASS,"Bluebird and Refrm remained on the monthly-review surface; no acknowledge, archive, generate, or other mutation.",iso29/batch4/ISO-21-bluebird-monthly.webp; iso29/batch4/ISO-21-refrm-monthly.webp
ISO-22,Multi-Company Overview (FC-016/#1172),/admin (Overview / org multi-company),"PASS: Admin Overview shows Bluebird Pilates — TEST DATA (fabricated), locations All/Bluebird Central/Bluebird North, and no other brands.","PASS: Admin Portal shows No company and Studio Pulse —; no Bluebird company, brand, location, or seven-brand list exposed.",CRITICAL,PASS,Full multi-company retest: Bluebird is tenant-local and Refrm did not expose Bluebird company data.,iso29/batch4/ISO-22-bluebird-overview.webp; iso29/batch4/ISO-22-refrm-overview.webp
ISO-23,Quarterly Review (FC-017/#1172),/admin/quarterly-review,PASS: Quarterly Business Review shows No scheduled executive brief is available yet and Quarterly Strategic Review awaiting first brief; no Refrm figures.,PASS: Quarterly Business Review remained honest-empty/awaiting first brief while checking scheduled status; no Bluebird figures or Refrm-specific leakage.,HIGH,PASS,No generate or other action used; both routes stayed on quarterly review.,iso29/batch4/ISO-23-bluebird-quarterly.webp; iso29/batch4/ISO-23-refrm-quarterly.webp
ISO-24,Recordings (FC-018/#1172),/admin/recordings,PASS: Recordings says Screen recording is not switched on for this studio yet.,PASS: Recordings says Screen recording is not switched on for this studio yet; no Bluebird recording data.,MEDIUM,PASS,Both tenants honest-disabled; no recording action.,iso29/batch4/ISO-24-bluebird-recordings.webp; iso29/batch4/ISO-24-refrm-recordings.webp
ISO-25,Visual Intelligence Showcase (FC-020/#1172),/admin/visual-intelligence-showcase,"PASS: Visual Intelligence explicitly labels the component gallery as samples, not live tenant metrics; fixture values 72 occupancy/43 morning mix/+2pp peer badge.",PASS: Same explicitly fixture-labelled sample gallery; no Bluebird or Refrm live metrics.,MEDIUM,PASS,"Fixture-labelled samples are shared presentation content, not selected-studio performance.",iso29/batch4/ISO-25-bluebird-visual.webp; iso29/batch4/ISO-25-refrm-visual.webp
ISO-26,Instructor ROI (FC-022/#1172),/admin/instructor-roi,PASS: Instructor ROI Report shows No instructor data found; no Ella Matthews/£111k.,PASS: Instructor ROI Report shows No instructor data found; no Bluebird instructor names or revenue.,HIGH,PASS,Both tenants honest-empty for Last 90 days / Total Revenue / Monthly; no refresh or filter mutation used.,iso29/batch4/ISO-26-bluebird-roi.webp; iso29/batch4/ISO-26-refrm-roi.webp
ISO-27,Staff Availability (FC-024/#1172),/admin/staff-availability,PASS: Staff Availability (redirected to appointments-hub availability) lists BB Teacher and helgoiq bb teacher 2/3 with 0 slots; Add Availability Slot opened and was Cancelled without saving.,"FAIL: Refrm Staff Availability lists the Bluebird roster (BB Teacher, helgoiq bb teacher 2, helgoiq bb teacher 3), each with 0 slots, instead of a Refrm-local roster.",HIGH,FAIL,"Cross-tenant staff identity/availability leakage: Refrm owner/admin can see Bluebird staff names and availability surface, with potential scheduling impact. Add Slot was canceled; no slot created.",iso29/batch4/ISO-27-bluebird-availability-dialog.webp; iso29/batch4/ISO-27-bluebird-availability-cancelled.webp; iso29/batch4/ISO-27-refrm-availability-leak.webp
ISO-28,Segments (SEG/MKT-T11),/admin/segments,"PASS: Customer Segments shows CENSUS MKT Dynamic Sep3 and CENSUS MKT Manual-Equiv Sep3, both 0 members; Message dialog was opened and Cancelled, no send.",PASS: Customer Segments shows No segments yet; no Bluebird segment names or members.,CRITICAL,PASS,"Bluebird-only segments stayed tenant-local; no Message/Send, create, preview mutation, or bulk action executed.",iso29/batch4/ISO-28-bluebird-message-dialog.webp; iso29/batch4/ISO-28-bluebird-segments-cancelled.webp; iso29/batch4/ISO-28-refrm-segments.webp
ISO-29,Command Centre ?c= (AIS-013/#1175),/admin/command-centre,"PASS: /admin/command-centre?c=150002&q=hello retained c= and loaded Aster active studio/admin with Bluebird recent chats; harmless query only, no execute/send.",FAIL: /admin/command-centre?c=150001&q=hello retained c= but rendered Choose a studio first with only Bluebird Pilates — TEST DATA (fabricated).,HIGH,FAIL,Cross-tenant studio/account branding exposure: Refrm Command Centre exposes the Bluebird studio chooser to the Refrm admin session; owner/admin identity and account-access impact. No studio was selected and no command executed.,iso29/batch4/ISO-29-bluebird-command-centre.webp; iso29/batch4/ISO-29-refrm-command-centre.webp
